player,country,is_first_timer,is_past_champion
Scottie Scheffler,USA,0,1
Jon Rahm,ESP,0,1
Xander Schauffele,USA,0,0
Chris Gotterup,USA,1,0
Tommy Fleetwood,ENG,0,0
